doi,role,title,authors,year,container,crossref_status
10.1016/j.ecoser.2016.11.007,integrated plural valuation,A new valuation school: Integrating diverse values of nature in resource and land use decisions,Sander Jacobs; Nicolas Dendoncker; Berta Martín-López; David Nicholas Barton; Erik Gomez-Baggethun; Fanny Boeraeve; Francesca L. McGrath; Kati Vierikko; Davide Geneletti; Katharina J. Sevecke; Nathalie Pipart; Eeva Primmer; Peter Mederly; Stefan Schmidt; Alexandra Aragão; Himlal Baral; Rosalind H. Bark; Tania Briceno; Delphine Brogna; Pedro Cabral; Rik De Vreese; Camino Liquete; Hannah Mueller; Kelvin S.-H. Peh; Anna Phelan; Alexander R. Rincón; Shannon H. Rogers; Francis Turkelboom; Wouter Van Reeth; Boris T. van Zanten; Hilde Karine Wam; Carla-Leanne Washbourne,2016,Ecosystem Services,verified
10.1016/j.cosust.2018.09.005,relational values and pluralistic valuation,Relational values: the key to pluralistic valuation of ecosystem services,Austin Himes; Barbara Muraca,2018,Current Opinion in Environmental Sustainability,verified
10.1016/j.ecoser.2016.09.002,cultural ecosystem services,Conceptualising cultural ecosystem services: A novel framework for research and critical engagement,Robert Fish; Andrew Church; Michael Winter,2016,Ecosystem Services,verified
10.1016/j.ecolecon.2024.108425,drought adaptation preferences and WTP,Preferences for drought risk adaptation support in Kenya: Evidence from a discrete choice experiment and three decision-making theories,Teun Schrieks; W.J. Wouter Botzen; Toon Haer; Jeroen C.J.H. Aerts,2025,Ecological Economics,verified
10.1029/2000wr900320,WTP for drought-mitigation ecosystem services,Pricing ecological services: Willingness to pay for drought mitigation from watershed protection in eastern Indonesia,Subhrendu K. Pattanayak; Randall A. Kramer,2001,Water Resources Research,verified
10.1111/j.1475-4932.2006.00293.x,WTP to avoid drought restrictions,Water Supply Security and Willingness to Pay to Avoid Drought Restrictions*,DAVID HENSHER; NINA SHORE; KENNETH TRAIN,2006,Economic Record,verified
10.1002/qj.3803,ERA5 reanalysis,The ERA5 global reanalysis,Hans Hersbach; Bill Bell; Paul Berrisford; Shoji Hirahara; András Horányi; Joaquín Muñoz‐Sabater; Julien Nicolas; Carole Peubey; Raluca Radu; Dinand Schepers; Adrian Simmons; Cornel Soci; Saleh Abdalla; Xavier Abellan; Gianpaolo Balsamo; Peter Bechtold; Gionata Biavati; Jean Bidlot; Massimo Bonavita; Giovanna De Chiara; Per Dahlgren; Dick Dee; Michail Diamantakis; Rossana Dragani; Johannes Flemming; Richard Forbes; Manuel Fuentes; Alan Geer; Leo Haimberger; Sean Healy; Robin J. Hogan; Elías Hólm; Marta Janisková; Sarah Keeley; Patrick Laloyaux; Philippe Lopez; Cristina Lupu; Gabor Radnoti; Patricia de Rosnay; Iryna Rozum; Freja Vamborg; Sebastien Villaume; Jean‐Noël Thépaut,2020,Quarterly Journal of the Royal Meteorological Society,verified
10.5194/essd-13-4349-2021,ERA5-Land reanalysis,ERA5-Land: a state-of-the-art global reanalysis dataset for land applications,Joaquín Muñoz-Sabater; Emanuel Dutra; Anna Agustí-Panareda; Clément Albergel; Gabriele Arduini; Gianpaolo Balsamo; Souhail Boussetta; Margarita Choulga; Shaun Harrigan; Hans Hersbach; Brecht Martens; Diego G. Miralles; María Piles; Nemesio J. Rodríguez-Fernández; Ervin Zsoter; Carlo Buontempo; Jean-Noël Thépaut,2021,Earth System Science Data,verified
10.1175/2009jcli2909.1,standardized drought index,A Multiscalar Drought Index Sensitive to Global Warming: The Standardized Precipitation Evapotranspiration Index,Sergio M. Vicente-Serrano; Santiago Beguería; Juan I. López-Moreno,2010,Journal of Climate,verified
10.1093/ije/dyh299,regression to the mean,Regression to the mean: what it is and how to deal with it,A. G Barnett,2004,International Journal of Epidemiology,verified
10.1126/science.185.4157.1124,judgment under uncertainty,Judgment under Uncertainty: Heuristics and Biases,Amos Tversky; Daniel Kahneman,1974,Science,verified
10.1037/h0055873,reinforcement and superstitious behavior,'Superstition' in the pigeon.,B. F. Skinner,1948,Journal of Experimental Psychology,verified
10.1086/261849,social learning and informational cascades,"A Theory of Fads, Fashion, Custom, and Cultural Change as Informational Cascades",Sushil Bikhchandani; David Hirshleifer; Ivo Welch,1992,Journal of Political Economy,verified
10.1016/0022-0531(82)90030-8,reputation under incomplete information,Reputation and imperfect information,David M Kreps; Robert Wilson,1982,Journal of Economic Theory,verified
10.1111/j.2517-6161.1972.tb00899.x,hazard modelling,Regression Models and Life-Tables,D. R. Cox,1972,Journal of the Royal Statistical Society Series B: Statistical Methodology,verified
